,rank,year,movie,wwbox_office,dombox_office,internationalbox_office,url,genre,production_companies,inflation_rank,infl_gross_box_office,actors,directors,main,number_of_stars,director_main,number_of_directors,production_companies_main,number_of_production_companies
808,809,2013,White House Down,205440387.0,73103784.0,132336603.0,/movie/White-House-Down,Thriller-or-Suspense,"['Columbia-Pictures', 'Mythology-Entertainment', 'Centropolis-Entertainment']",,,"['Channing Tatum', 'Jamie Foxx']",['Roland Emmerich'],Channing Tatum,2,Roland Emmerich,1,Columbia-Pictures,3
809,810,1991,JFK,205400000.0,70405498.0,134994502.0,/movie/JFK-(1991),Drama,"['Camelot-Pictures', 'Ixtlan-Productions', 'Kitman-Ho-A', 'Regency-Enterprises']",759,154038545.0,['Kevin Costner'],['Oliver Stone'],Kevin Costner,1,Oliver Stone,1,Camelot-Pictures,4
810,811,2012,Ren zai jiong tu zhi tai jiong,205400000.0,,205400000.0,/movie/Ren-zai-jiong-tu-zhi-tai-jiong,Comedy,['Nan'],,,[],['Xu Zheng'],,0,Xu Zheng,1,Nan,1
811,812,2009,The Ugly Truth,205298907.0,88915214.0,116383693.0,/movie/Ugly-Truth-The,Romantic-Comedy,"['Columbia-Pictures', 'Relativity-Media', 'Lakeshore-Entertainment', 'Steven-Reuther']",,,"['Katherine Heigl', 'Gerard Butler']",['Robert Luketic'],Katherine Heigl,2,Robert Luketic,1,Columbia-Pictures,4
812,813,2006,The Holiday,205190324.0,63280000.0,141910324.0,/movie/Holiday-The,Romantic-Comedy,"['Columbia-Pictures', 'Universal-Pictures', 'Relativity-Media', 'Waverly-Films']",,,"['Cameron Diaz', 'Kate Winslet', 'Jude Law']",['Nancy Meyers'],Cameron Diaz,3,Nancy Meyers,1,Columbia-Pictures,4
813,814,2009,Gake no ue no Ponyo,205162666.0,15090399.0,190072267.0,/movie/Gake-no-ue-no-Ponyo,Adventure,"['Studio-Ghibli', 'Nippon-Television-Network', 'Dentsu-Inc', 'Hakuhoda', 'Walt-Disney-Japan']",,,['Noah Cyrus'],"['Hayao Miyazaki', 'John Lasseter', 'Brad Lewis']",Noah Cyrus,1,Hayao Miyazaki,3,Studio-Ghibli,5
814,815,2010,Yogi Bear,204774690.0,100246011.0,104528679.0,/movie/Yogi-Bear,Adventure,"['Sunswept-Entertainment', 'De-Line-Pictures', 'Rhythm-and-Hues']",,,"['Dan Aykroyd', 'Justin Timberlake']",['Eric Brevig'],Dan Aykroyd,2,Eric Brevig,1,Sunswept-Entertainment,3
815,816,2008,Valkyrie,203932174.0,83107829.0,120824345.0,/movie/Valkyrie,Thriller-or-Suspense,"['Metro-Goldwyn-Mayer-Pictures', 'United-Artistic-Group', 'Bad-Hat-Harry-Productions', 'Achte-Babelsberg-Film']",,,['Tom Cruise'],['Bryan Singer'],Tom Cruise,1,Bryan Singer,1,Metro-Goldwyn-Mayer-Pictures,4
816,817,2004,King Arthur,203653524.0,51877963.0,151775561.0,/movie/King-Arthur-(2004),Adventure,"['Touchstone-Pictures', 'Jerry-Bruckheimer']",,,"['Clive Owen', 'Keira Knightley', 'Ioan Gruffudd']",['Antoine Fuqua'],Clive Owen,3,Antoine Fuqua,1,Touchstone-Pictures,2
817,818,2020,Chai Dan Zhuan Jia Er,203474216.0,,203474216.0,/movie/Chai-Dan-Zhuan-Jia-Er-(2020-Hong-Kong),Action,['Nan'],,,[],[],,0,,0,Nan,1
818,819,2016,Arrival,203127894.0,100546139.0,102581755.0,/movie/Arrival-(2016),Drama,"['Paramount-Pictures', 'FilmNation-Entertainment', 'Lava-Bear-Films', '21-Laps-Entertainment']",,,"['Amy Adams', 'Jeremy Renner', 'Forest Whitaker']",['Denis Villeneuve'],Amy Adams,3,Denis Villeneuve,1,Paramount-Pictures,4
